Angle,O-O-O,O-O-Si,Si-O-Si,O-Si-O,O-Si-Si,Si-Si-Si
0.5,68,96,0,0,10,22
1.5,97,143,14,0,81,14
2.5,69,246,22,19,148,0
3.5,115,288,13,88,211,0
4.5,312,402,18,109,194,0
5.5,375,417,26,84,198,0
6.5,260,494,5,109,222,3
7.5,255,794,25,203,378,36
8.5,257,1182,100,270,771,58
9.5,490,1762,175,262,749,35
10.5,596,1497,211,276,591,59
11.5,512,1265,188,290,573,72
12.5,721,791,79,420,495,104
13.5,1225,544,69,492,220,84
14.5,1515,813,139,833,224,67
15.5,1404,715,244,742,230,80
16.5,1307,614,270,652,320,85
17.5,1837,810,299,667,485,166
18.5,1750,1070,267,804,658,304
19.5,1838,1009,360,760,698,260
20.5,1797,1302,514,881,821,191
21.5,1510,1963,588,744,905,102
22.5,1652,2273,618,883,1226,217
23.5,2260,2625,367,1138,1183,265
24.5,2293,3181,236,1025,1419,216
25.5,2080,2992,354,994,1152,206
26.5,2079,2311,561,965,1056,416
27.5,2356,2814,707,1166,1276,399
28.5,2754,2890,715,1247,1593,255
29.5,3003,3026,1190,1561,1747,441
30.5,3091,2597,1003,1399,1356,358
31.5,2600,2624,498,1332,1042,221
32.5,2847,2311,681,1323,1169,272
33.5,2970,2415,759,1309,1221,298
34.5,3172,1939,713,1234,719,420
35.5,2462,2045,584,1285,811,461
36.5,2744,2578,554,1335,1474,410
37.5,2917,3329,585,1695,1640,246
38.5,3239,3575,716,1619,1838,376
39.5,3229,3014,833,1543,1468,382
40.5,2982,3312,782,1523,1502,314
41.5,2836,3287,680,1560,1480,300
42.5,3419,3448,823,1325,1604,238
43.5,3305,3311,646,1453,1494,295
44.5,2977,2942,584,1480,1401,328
45.5,2730,3369,660,1761,1709,505
46.5,3678,3505,1021,2013,1935,502
47.5,3900,3528,971,2029,1913,474
48.5,4556,3707,1103,1904,1816,779
49.5,4525,3986,947,1677,1869,834
50.5,4409,3645,1087,1913,1877,676
