phi  /  Degrees,Si Si Si,Si Si O,Si O Si,Si O O,O Si O,O O O
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.04711287386783418,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0471067882839307
11,0.0,0.03675655101006898,0.0,0.014484713110504322,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,2.3062446663370983,0.0,6.224736715112618,0.0,0.0
14,0.0,1.0579072699823076,0.0,1.2227866126060758,0.0,0.0
15,0.0,0.0,0.0,0.694999641713823,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,1.5514775323730092,0.0,0.6121489289725317,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.043448526347435776
19,0.0,0.0,0.0,0.0,0.0,0.09421357656786135
20,0.0,0.0,0.0,5.279110331449077,0.0,0.0
21,0.0,4.437956569307218,0.0,0.0,4.135363341716224,0.04710678828393071
22,0.0,8.887303048443256,0.0,0.04711287386783418,4.5990055199310715,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.15577044921071745,0.0,0.0,0.0,0.0,1.111808950365492
26,0.0,0.0,0.0,0.0,1.9270176053866703,0.4172705245222814
27,0.0,0.0,0.0,0.0,0.9635045063345182,0.0
28,0.0,0.0,0.44988202706503405,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,3.405899490586685
30,0.0,0.0,0.0,0.09422574773566834,0.0,4.472211392329114
31,2.24165038032129,0.0,0.0,0.0,0.0,0.0
32,0.0,0.110269653030207,0.0,0.04345413933151302,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,2.1105903329283078
34,0.0,0.0,0.0,0.023555448257890427,0.0,0.0
35,8.381354129689743,1.9777157487981207,4.249135411070948,22.769504237805346,0.0,0.05793136846324771
36,0.0,0.16417597757096142,0.0,0.25892783671422626,0.0,0.01448284211581191
37,0.0,0.328528932608744,0.0,0.12949878628517306,8.271357908090005,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,1.586860904973459,0.0,0.0,0.0,0.2355339414196539
41,0.0,0.0,0.0,0.6946281511677045,0.0,0.0
42,0.0,0.0,0.0,0.0,0.714033155634319,0.0
43,0.0,0.0,0.0,0.833983955012733,0.0,0.0
