# Bond length distribution (180 data points):
# Length O-O O-Si Si-Si
0.0111111111 0 0 0 
0.0333333333 0 0 0 
0.0555555556 0 0 0 
0.0777777778 0 0 0 
0.1 0 0 0 
0.1222222222 0 0 0 
0.1444444444 0 0 0 
0.1666666667 0 0 0 
0.1888888889 0 0 0 
0.2111111111 0 0 0 
0.2333333333 0 0 0 
0.2555555556 0 0 0 
0.2777777778 0 0 0 
0.3 0 0 0 
0.3222222222 0 0 0 
0.3444444444 0 0 0 
0.3666666667 0 0 0 
0.3888888889 0 0 0 
0.4111111111 0 0 0 
0.4333333333 0 0 0 
0.4555555556 0 0 0 
0.4777777778 0 0 0 
0.5 0 0 0 
0.5222222222 0 0 0 
0.5444444444 0 0 0 
0.5666666667 0 0 0 
0.5888888889 0 0 0 
0.6111111111 0 0 0 
0.6333333333 0 0 0 
0.6555555556 0 0 0 
0.6777777778 0 0 0 
0.7 0 0 0 
0.7222222222 0 0 0 
0.7444444444 0 0 0 
0.7666666667 0 0 0 
0.7888888889 0 0 0 
0.8111111111 0 0 0 
0.8333333333 0 0 0 
0.8555555556 0 0 0 
0.8777777778 0 0 0 
0.9 0 0 0 
0.9222222222 0 0 0 
0.9444444444 0 0 0 
0.9666666667 0 0 0 
0.9888888889 0 0 0 
1.0111111111 0 0 0 
1.0333333333 0 0 0 
1.0555555556 0 0 0 
1.0777777778 0 0 0 
1.1 0 0 0 
1.1222222222 0 0 0 
1.1444444444 0 0 0 
1.1666666667 0 0 0 
1.1888888889 0 0 0 
1.2111111111 0 0 0 
1.2333333333 0 0 0 
1.2555555556 0 0 0 
1.2777777778 0 0 0 
1.3 0 0 0 
1.3222222222 0 0 0 
1.3444444444 0 1 0 
1.3666666667 0 0 0 
1.3888888889 0 0 0 
1.4111111111 0 0 0 
1.4333333333 0 1 0 
1.4555555556 0 0 0 
1.4777777778 0 0 0 
1.5 0 0 0 
1.5222222222 0 0 0 
1.5444444444 0 1 0 
1.5666666667 0 2 0 
1.5888888889 0 0 0 
1.6111111111 0 4 0 
1.6333333333 0 0 0 
1.6555555556 0 2 0 
1.6777777778 0 3 0 
1.7 0 4 0 
1.7222222222 0 0 0 
1.7444444444 0 2 0 
1.7666666667 0 3 0 
1.7888888889 0 2 0 
1.8111111111 0 0 0 
1.8333333333 0 1 0 
1.8555555556 0 1 0 
1.8777777778 0 1 0 
1.9 0 1 0 
1.9222222222 0 0 0 
1.9444444444 0 0 0 
1.9666666667 0 1 0 
1.9888888889 0 1 0 
2.0111111111 0 1 0 
2.0333333333 0 0 0 
2.0555555556 0 0 0 
2.0777777778 0 0 0 
2.1 0 0 0 
2.1222222222 0 0 0 
2.1444444444 0 0 0 
2.1666666667 0 0 0 
2.1888888889 0 0 0 
2.2111111111 0 0 0 
2.2333333333 0 0 0 
2.2555555556 0 0 0 
2.2777777778 0 0 0 
2.3 0 0 0 
2.3222222222 0 0 0 
2.3444444444 0 0 0 
2.3666666667 0 0 0 
2.3888888889 0 0 0 
2.4111111111 0 0 0 
2.4333333333 0 0 0 
2.4555555556 1 0 0 
2.4777777778 0 0 0 
2.5 2 0 0 
2.5222222222 1 0 0 
2.5444444444 1 0 0 
2.5666666667 2 0 0 
2.5888888889 0 0 0 
2.6111111111 1 0 0 
2.6333333333 3 0 0 
2.6555555556 3 0 0 
2.6777777778 2 0 0 
2.7 0 0 0 
2.7222222222 3 0 0 
2.7444444444 3 0 0 
2.7666666667 4 0 0 
2.7888888889 1 0 0 
2.8111111111 4 0 0 
2.8333333333 1 0 0 
2.8555555556 2 0 0 
2.8777777778 1 0 0 
2.9 2 0 0 
2.9222222222 2 0 0 
2.9444444444 2 0 0 
2.9666666667 1 0 0 
2.9888888889 1 0 0 
3.0111111111 1 0 1 
3.0333333333 1 0 1 
3.0555555556 1 0 0 
3.0777777778 2 0 0 
3.1 0 0 0 
3.1222222222 0 0 0 
3.1444444444 0 0 0 
3.1666666667 0 0 1 
3.1888888889 0 0 1 
3.2111111111 0 0 1 
3.2333333333 0 0 1 
3.2555555556 1 0 1 
3.2777777778 0 0 1 
3.3 1 0 0 
3.3222222222 1 0 2 
3.3444444444 1 0 0 
3.3666666667 1 0 0 
3.3888888889 2 0 1 
3.4111111111 1 0 1 
3.4333333333 1 0 0 
3.4555555556 1 0 1 
3.4777777778 1 0 1 
3.5 0 1 0 
3.5222222222 1 1 0 
3.5444444444 1 0 0 
3.5666666667 1 0 1 
3.5888888889 1 1 0 
3.6111111111 0 1 0 
3.6333333333 1 1 0 
3.6555555556 2 0 0 
3.6777777778 1 2 1 
3.7 3 1 0 
3.7222222222 1 2 0 
3.7444444444 2 3 0 
3.7666666667 2 5 0 
3.7888888889 4 5 0 
3.8111111111 1 2 0 
3.8333333333 3 4 0 
3.8555555556 3 2 0 
3.8777777778 2 3 0 
3.9 3 2 0 
3.9222222222 2 9 0 
3.9444444444 2 3 0 
3.9666666667 2 3 0 
3.9888888889 1 5 0 
